Testing error
T(0.0): precision: 0.008294787878787879, recall: 1.0, coverage: 1, TP: 42770, FP: 5113480, nbPos: 42770
T(2.0): precision: 0.008186683367190178, recall: 0.953285012859481, coverage: 1, TP: 40772, FP: 4939511, nbPos: 42770
T(4.0): precision: 0.008699142776331834, recall: 0.9039279869067103, coverage: 1, TP: 38661, FP: 4405570, nbPos: 42770
T(6.0): precision: 0.009780187679808821, recall: 0.8743979424830489, coverage: 1, TP: 37398, FP: 3786455, nbPos: 42770
T(8.0): precision: 0.011239002178786048, recall: 0.8536591068505962, coverage: 1, TP: 36511, FP: 3212087, nbPos: 42770
T(10.0): precision: 0.012851401884881822, recall: 0.839443535188216, coverage: 1, TP: 35903, FP: 2757800, nbPos: 42770
T(12.0): precision: 0.014353317347417564, recall: 0.8289455225625438, coverage: 1, TP: 35454, FP: 2434637, nbPos: 42770
T(14.0): precision: 0.01563249795153458, recall: 0.8203179798924479, coverage: 1, TP: 35085, FP: 2209278, nbPos: 42770
T(16.0): precision: 0.016669370247499666, recall: 0.8144961421557166, coverage: 1, TP: 34836, FP: 2054985, nbPos: 42770
T(18.0): precision: 0.017432080813112146, recall: 0.8117138180967968, coverage: 1, TP: 34717, FP: 1956841, nbPos: 42770
T(20.0): precision: 0.017949910048311132, recall: 0.8097264437689969, coverage: 1, TP: 34632, FP: 1894737, nbPos: 42770
T(22.0): precision: 0.01832736353399391, recall: 0.8078793546878653, coverage: 1, TP: 34553, FP: 1850770, nbPos: 42770
T(24.0): precision: 0.018613708720860236, recall: 0.8061024082300678, coverage: 1, TP: 34477, FP: 1817760, nbPos: 42770
T(26.0): precision: 0.018829242329161833, recall: 0.8039747486555997, coverage: 1, TP: 34386, FP: 1791816, nbPos: 42770
T(28.0): precision: 0.019028786271111837, recall: 0.8025485153144728, coverage: 1, TP: 34325, FP: 1769521, nbPos: 42770
T(30.0): precision: 0.019188567911656244, recall: 0.80039747486556, coverage: 1, TP: 34233, FP: 1749798, nbPos: 42770
T(32.0): precision: 0.019316518534318632, recall: 0.7982464344166472, coverage: 1, TP: 34141, FP: 1733310, nbPos: 42770
T(34.0): precision: 0.019422699163539663, recall: 0.7959551087210661, coverage: 1, TP: 34043, FP: 1718700, nbPos: 42770
T(36.0): precision: 0.01949703013365693, recall: 0.7922609305588029, coverage: 1, TP: 33885, FP: 1704072, nbPos: 42770
T(38.0): precision: 0.019666250634526632, recall: 0.7898760813654431, coverage: 1, TP: 33783, FP: 1684033, nbPos: 42770
T(40.0): precision: 0.019923813387279575, recall: 0.7854570960953939, coverage: 1, TP: 33594, FP: 1652529, nbPos: 42770
T(42.0): precision: 0.020391124868481762, recall: 0.7812017769464578, coverage: 1, TP: 33412, FP: 1605144, nbPos: 42770
T(44.0): precision: 0.02113713992850299, recall: 0.7762450315641805, coverage: 1, TP: 33200, FP: 1537495, nbPos: 42770
T(46.0): precision: 0.02223057291779311, recall: 0.7690437222352116, coverage: 1, TP: 32892, FP: 1446692, nbPos: 42770
T(48.0): precision: 0.023859597591423115, recall: 0.7596913724573299, coverage: 1, TP: 32492, FP: 1329308, nbPos: 42770
T(50.0): precision: 0.02614308468755167, recall: 0.7467851297638531, coverage: 1, TP: 31940, FP: 1189798, nbPos: 42770
T(52.0): precision: 0.02933565280774444, recall: 0.7302080897825579, coverage: 1, TP: 31231, FP: 1033378, nbPos: 42770
T(54.0): precision: 0.03354222824680853, recall: 0.7093055880289922, coverage: 1, TP: 30337, FP: 874105, nbPos: 42770
T(56.0): precision: 0.03835640480578182, recall: 0.6847089081131634, coverage: 1, TP: 29285, FP: 734212, nbPos: 42770
T(58.0): precision: 0.043641880048038754, recall: 0.6618657937806874, coverage: 1, TP: 28308, FP: 620335, nbPos: 42770
T(60.0): precision: 0.04857167816895257, recall: 0.6369885433715221, coverage: 1, TP: 27244, FP: 533659, nbPos: 42770
T(62.0): precision: 0.05203244375904976, recall: 0.6200607902735562, coverage: 1, TP: 26520, FP: 483162, nbPos: 42770
T(64.0): precision: 0.05472708937350309, recall: 0.6090483984101005, coverage: 1, TP: 26049, FP: 449931, nbPos: 42770
T(66.0): precision: 0.0568356612446959, recall: 0.6012859480944587, coverage: 1, TP: 25717, FP: 426763, nbPos: 42770
T(68.0): precision: 0.05816431384178258, recall: 0.5915828851999064, coverage: 1, TP: 25302, FP: 409707, nbPos: 42770
T(70.0): precision: 0.05918319057309167, recall: 0.5848024316109423, coverage: 1, TP: 25012, FP: 397608, nbPos: 42770
T(72.0): precision: 0.059926038193391935, recall: 0.577788169277531, coverage: 1, TP: 24712, FP: 387663, nbPos: 42770
T(74.0): precision: 0.06090164524562, recall: 0.5735562310030395, coverage: 1, TP: 24531, FP: 378266, nbPos: 42770
T(76.0): precision: 0.06188396313036773, recall: 0.5704465747018939, coverage: 1, TP: 24398, FP: 369856, nbPos: 42770
T(78.0): precision: 0.06304915727786613, recall: 0.5682487725040917, coverage: 1, TP: 24304, FP: 361173, nbPos: 42770
T(80.0): precision: 0.06450184698681105, recall: 0.5654430675707272, coverage: 1, TP: 24184, FP: 350751, nbPos: 42770
T(82.0): precision: 0.06654832161421913, recall: 0.5618424129062427, coverage: 1, TP: 24030, FP: 337061, nbPos: 42770
T(84.0): precision: 0.06958458148616493, recall: 0.5545241992050502, coverage: 1, TP: 23717, FP: 317120, nbPos: 42770
T(86.0): precision: 0.07423237850016093, recall: 0.5392564881926584, coverage: 1, TP: 23064, FP: 287636, nbPos: 42770
T(88.0): precision: 0.08102051114607142, recall: 0.5105447743745616, coverage: 1, TP: 21836, FP: 247676, nbPos: 42770
T(90.0): precision: 0.09191346837649973, recall: 0.4683890577507599, coverage: 1, TP: 20033, FP: 197922, nbPos: 42770
T(92.0): precision: 0.11011580874258503, recall: 0.4092822071545476, coverage: 1, TP: 17505, FP: 141464, nbPos: 42770
T(94.0): precision: 0.1393946444845171, recall: 0.33617021276595743, coverage: 1, TP: 14378, FP: 88768, nbPos: 42770
T(96.0): precision: 0.1794333874527975, recall: 0.22997428103811082, coverage: 1, TP: 9836, FP: 44981, nbPos: 42770
T(98.0): precision: 0.269185667752443, recall: 0.14491465980827684, coverage: 1, TP: 6198, FP: 16827, nbPos: 42770
T(100.0): precision: 0.44792911190760654, recall: 0.10519055412672434, coverage: 1, TP: 4499, FP: 5545, nbPos: 42770
