Testing error
T(0.0): precision: 0.008512969696969698, recall: 1.0, coverage: 1, TP: 43895, FP: 5112355, nbPos: 43895
T(2.0): precision: 0.00993150684931507, recall: 0.9018111402209819, coverage: 1, TP: 39585, FP: 3946215, nbPos: 43895
T(4.0): precision: 0.01059598659016923, recall: 0.8654288643353457, coverage: 1, TP: 37988, FP: 3547143, nbPos: 43895
T(6.0): precision: 0.011150848649580087, recall: 0.8535824125754642, coverage: 1, TP: 37468, FP: 3322635, nbPos: 43895
T(8.0): precision: 0.01145070353362206, recall: 0.8445381022895546, coverage: 1, TP: 37071, FP: 3200372, nbPos: 43895
T(10.0): precision: 0.011700064313249926, recall: 0.8405057523635949, coverage: 1, TP: 36894, FP: 3116422, nbPos: 43895
T(12.0): precision: 0.011946199397120442, recall: 0.8380225538216197, coverage: 1, TP: 36785, FP: 3042437, nbPos: 43895
T(14.0): precision: 0.012127313672525538, recall: 0.8364506207996355, coverage: 1, TP: 36716, FP: 2990830, nbPos: 43895
T(16.0): precision: 0.012295460135215165, recall: 0.8348103428636519, coverage: 1, TP: 36644, FP: 2943643, nbPos: 43895
T(18.0): precision: 0.01242325692938041, recall: 0.833192846565668, coverage: 1, TP: 36573, FP: 2907341, nbPos: 43895
T(20.0): precision: 0.012554253352843454, recall: 0.8318715115616813, coverage: 1, TP: 36515, FP: 2872061, nbPos: 43895
T(22.0): precision: 0.012645032867936704, recall: 0.8312791889736872, coverage: 1, TP: 36489, FP: 2849150, nbPos: 43895
T(24.0): precision: 0.012736102221249138, recall: 0.8309146827656908, coverage: 1, TP: 36473, FP: 2827276, nbPos: 43895
T(26.0): precision: 0.01280016524501156, recall: 0.8301173254356988, coverage: 1, TP: 36438, FP: 2810244, nbPos: 43895
T(28.0): precision: 0.012884522011412328, recall: 0.8294338762957056, coverage: 1, TP: 36408, FP: 2789308, nbPos: 43895
T(30.0): precision: 0.013001564106001699, recall: 0.828499829137715, coverage: 1, TP: 36367, FP: 2760758, nbPos: 43895
T(32.0): precision: 0.013099617619719728, recall: 0.8273607472377263, coverage: 1, TP: 36317, FP: 2736054, nbPos: 43895
T(34.0): precision: 0.013215802829859251, recall: 0.8259938489577401, coverage: 1, TP: 36257, FP: 2707201, nbPos: 43895
T(36.0): precision: 0.01335011375902585, recall: 0.8235789953297642, coverage: 1, TP: 36151, FP: 2671766, nbPos: 43895
T(38.0): precision: 0.013477541974223664, recall: 0.8220754072217793, coverage: 1, TP: 36085, FP: 2641332, nbPos: 43895
T(40.0): precision: 0.013693851746242835, recall: 0.8201161863537988, coverage: 1, TP: 35999, FP: 2592845, nbPos: 43895
T(42.0): precision: 0.013872148387971881, recall: 0.8177924592778221, coverage: 1, TP: 35897, FP: 2551806, nbPos: 43895
T(44.0): precision: 0.014049857904266482, recall: 0.8156509853058435, coverage: 1, TP: 35803, FP: 2512479, nbPos: 43895
T(46.0): precision: 0.01430346388712147, recall: 0.8127577172798724, coverage: 1, TP: 35676, FP: 2458545, nbPos: 43895
T(48.0): precision: 0.014231853814891195, recall: 0.7942590272240574, coverage: 1, TP: 34864, FP: 2414852, nbPos: 43895
T(50.0): precision: 0.014521846337085493, recall: 0.7910695979040893, coverage: 1, TP: 34724, FP: 2356432, nbPos: 43895
T(52.0): precision: 0.014817998555615441, recall: 0.7885636177241143, coverage: 1, TP: 34614, FP: 2301329, nbPos: 43895
T(54.0): precision: 0.015074039402020711, recall: 0.7857614762501424, coverage: 1, TP: 34491, FP: 2253615, nbPos: 43895
T(56.0): precision: 0.015520593347258364, recall: 0.7824125754641759, coverage: 1, TP: 34344, FP: 2178458, nbPos: 43895
T(58.0): precision: 0.016054141723592253, recall: 0.7793370543342066, coverage: 1, TP: 34209, FP: 2096643, nbPos: 43895
T(60.0): precision: 0.0165874051152461, recall: 0.7752135778562479, coverage: 1, TP: 34028, FP: 2017408, nbPos: 43895
T(62.0): precision: 0.01717175355094434, recall: 0.7712040095682879, coverage: 1, TP: 33852, FP: 1937525, nbPos: 43895
T(64.0): precision: 0.018002782408590608, recall: 0.7670805330903292, coverage: 1, TP: 33671, FP: 1836651, nbPos: 43895
T(66.0): precision: 0.019292734662154504, recall: 0.7600410069483996, coverage: 1, TP: 33362, FP: 1695890, nbPos: 43895
T(68.0): precision: 0.020527683277529053, recall: 0.7482173368265178, coverage: 1, TP: 32843, FP: 1567094, nbPos: 43895
T(70.0): precision: 0.022263611881946057, recall: 0.7420662945665794, coverage: 1, TP: 32573, FP: 1430487, nbPos: 43895
T(72.0): precision: 0.024002426173463952, recall: 0.7338421232486616, coverage: 1, TP: 32212, FP: 1309819, nbPos: 43895
T(74.0): precision: 0.025682953186438283, recall: 0.7206515548467934, coverage: 1, TP: 31633, FP: 1200040, nbPos: 43895
T(76.0): precision: 0.027121470420930417, recall: 0.7136348103428637, coverage: 1, TP: 31325, FP: 1123664, nbPos: 43895
T(78.0): precision: 0.02893531032477192, recall: 0.7072331700649277, coverage: 1, TP: 31044, FP: 1041832, nbPos: 43895
T(80.0): precision: 0.030846359386796963, recall: 0.6906253559630937, coverage: 1, TP: 30315, FP: 952459, nbPos: 43895
T(82.0): precision: 0.03408223355046872, recall: 0.6742909215172571, coverage: 1, TP: 29598, FP: 838831, nbPos: 43895
T(84.0): precision: 0.036591246985919715, recall: 0.6672286137373277, coverage: 1, TP: 29288, FP: 771122, nbPos: 43895
T(86.0): precision: 0.03964735364435963, recall: 0.6588677525914113, coverage: 1, TP: 28921, FP: 700535, nbPos: 43895
T(88.0): precision: 0.043769305227593605, recall: 0.6469301742795307, coverage: 1, TP: 28397, FP: 620391, nbPos: 43895
T(90.0): precision: 0.04759632079619147, recall: 0.6338762957056613, coverage: 1, TP: 27824, FP: 556759, nbPos: 43895
T(92.0): precision: 0.05909896917502256, recall: 0.5937578311880625, coverage: 1, TP: 26063, FP: 414943, nbPos: 43895
T(94.0): precision: 0.06491682259759567, recall: 0.5769677639822304, coverage: 1, TP: 25326, FP: 364804, nbPos: 43895
T(96.0): precision: 0.06848288485057849, recall: 0.5600182253103998, coverage: 1, TP: 24582, FP: 334369, nbPos: 43895
T(98.0): precision: 0.07398689976617787, recall: 0.5442533318145575, coverage: 1, TP: 23890, FP: 299005, nbPos: 43895
T(100.0): precision: 0.14116138558078992, recall: 0.16553138170634468, coverage: 1, TP: 7266, FP: 44207, nbPos: 43895
