Dataset      Original,   Reduzido,   FSF-Corr               Diferença
Cellcycle    0.439,      0.44163,    0.44057645688760533        
Church       0.452,      0.44948,    0.45113699046341194
Derisi       0.438,      0.43756,    0.44282015303463634
Eisen        0.456,      0.45566,    0.45593214955035866
Expr         0.473,      0.48654,    0.5413137562622757
Gasch1       0.456,      0.45089,    0.4554186101574099
Gasch2       0.438,      0.43865,    0.4345841598595542
Pheno        0.421,      0.42315,    0.4211636273902023
Seq          0.470,      0.46970,    0.48729565383046375
Spo          0.468,      0.46847,    0.4683818999269171
