Testing error
T(0.0): precision: 0.008512675328336819, recall: 1.0, coverage: 1, TP: 43479, FP: 5064081, nbPos: 43479
T(2.0): precision: 0.010921435337686834, recall: 0.8732031555463557, coverage: 1, TP: 37966, FP: 3438317, nbPos: 43479
T(4.0): precision: 0.012595333770706905, recall: 0.8477885875940109, coverage: 1, TP: 36861, FP: 2889699, nbPos: 43479
T(6.0): precision: 0.013488153882242553, recall: 0.8358057913015479, coverage: 1, TP: 36340, FP: 2657876, nbPos: 43479
T(8.0): precision: 0.013990796682088288, recall: 0.82948089882472, coverage: 1, TP: 36065, FP: 2541701, nbPos: 43479
T(10.0): precision: 0.014341852954785815, recall: 0.8262149543457761, coverage: 1, TP: 35923, FP: 2468844, nbPos: 43479
T(12.0): precision: 0.014536948940736849, recall: 0.8240529910991513, coverage: 1, TP: 35829, FP: 2428856, nbPos: 43479
T(14.0): precision: 0.014674387050028723, recall: 0.8230870075208722, coverage: 1, TP: 35787, FP: 2402952, nbPos: 43479
T(16.0): precision: 0.014801878410125065, recall: 0.8222360219876262, coverage: 1, TP: 35750, FP: 2379484, nbPos: 43479
T(18.0): precision: 0.014916543012768431, recall: 0.8217070309804734, coverage: 1, TP: 35727, FP: 2359399, nbPos: 43479
T(20.0): precision: 0.015019959722966028, recall: 0.8211550403643139, coverage: 1, TP: 35703, FP: 2341334, nbPos: 43479
T(22.0): precision: 0.015108918111010467, recall: 0.8206030497481542, coverage: 1, TP: 35679, FP: 2325774, nbPos: 43479
T(24.0): precision: 0.015180851457938299, recall: 0.8199590606959681, coverage: 1, TP: 35651, FP: 2312768, nbPos: 43479
T(26.0): precision: 0.015264732234101219, recall: 0.8193610708617953, coverage: 1, TP: 35625, FP: 2298186, nbPos: 43479
T(28.0): precision: 0.015328238277696611, recall: 0.8185100853285494, coverage: 1, TP: 35588, FP: 2286140, nbPos: 43479
T(30.0): precision: 0.0153849616003476, recall: 0.8176361001862968, coverage: 1, TP: 35550, FP: 2275148, nbPos: 43479
T(32.0): precision: 0.01544222782644155, recall: 0.8169691115251041, coverage: 1, TP: 35521, FP: 2264730, nbPos: 43479
T(34.0): precision: 0.015490186405256037, recall: 0.8160491271648382, coverage: 1, TP: 35481, FP: 2255066, nbPos: 43479
T(36.0): precision: 0.015561257858101625, recall: 0.8153821385036455, coverage: 1, TP: 35452, FP: 2242770, nbPos: 43479
T(38.0): precision: 0.01563950156346447, recall: 0.8146691506244393, coverage: 1, TP: 35421, FP: 2229421, nbPos: 43479
T(40.0): precision: 0.01570906716879231, recall: 0.812415188941788, coverage: 1, TP: 35323, FP: 2213251, nbPos: 43479
