Testing error
T(0.0): precision: 0.010656502206026867, recall: 1.0, coverage: 1, TP: 30689, FP: 2849149, nbPos: 30689
T(2.0): precision: 0.010547166404704954, recall: 0.9822086089478315, coverage: 1, TP: 30143, FP: 2827781, nbPos: 30689
T(4.0): precision: 0.010550279323506214, recall: 0.9441167845156245, coverage: 1, TP: 28974, FP: 2717304, nbPos: 30689
T(6.0): precision: 0.010902962348862835, recall: 0.9114992342533155, coverage: 1, TP: 27973, FP: 2537660, nbPos: 30689
T(8.0): precision: 0.011602343646148969, recall: 0.8873537749682296, coverage: 1, TP: 27232, FP: 2319880, nbPos: 30689
T(10.0): precision: 0.012572357745110604, recall: 0.8661735475251718, coverage: 1, TP: 26582, FP: 2087739, nbPos: 30689
T(12.0): precision: 0.01372875465592681, recall: 0.8482844015771123, coverage: 1, TP: 26033, FP: 1870206, nbPos: 30689
T(14.0): precision: 0.014992652095762806, recall: 0.8344032063605852, coverage: 1, TP: 25607, FP: 1682363, nbPos: 30689
T(16.0): precision: 0.016262273535551375, recall: 0.8224771090618789, coverage: 1, TP: 25241, FP: 1526879, nbPos: 30689
T(18.0): precision: 0.017579831245465437, recall: 0.8124409397503992, coverage: 1, TP: 24933, FP: 1393340, nbPos: 30689
T(20.0): precision: 0.0189161659987262, recall: 0.8042295284955522, coverage: 1, TP: 24681, FP: 1280076, nbPos: 30689
T(22.0): precision: 0.020249057272898264, recall: 0.7963113819283782, coverage: 1, TP: 24438, FP: 1182433, nbPos: 30689
T(24.0): precision: 0.02155147143732734, recall: 0.7905764280361042, coverage: 1, TP: 24262, FP: 1101508, nbPos: 30689
T(26.0): precision: 0.022657594853999534, recall: 0.7852976636579883, coverage: 1, TP: 24100, FP: 1039561, nbPos: 30689
T(28.0): precision: 0.023576660276262106, recall: 0.7814200527876438, coverage: 1, TP: 23981, FP: 993169, nbPos: 30689
T(30.0): precision: 0.024297364902132787, recall: 0.7779986314314575, coverage: 1, TP: 23876, FP: 958782, nbPos: 30689
T(32.0): precision: 0.024892697577156796, recall: 0.7753918342076965, coverage: 1, TP: 23796, FP: 932147, nbPos: 30689
T(34.0): precision: 0.025416294927010658, recall: 0.7741861904917071, coverage: 1, TP: 23759, FP: 911035, nbPos: 30689
T(36.0): precision: 0.025870721752398178, recall: 0.7718400729903223, coverage: 1, TP: 23687, FP: 891904, nbPos: 30689
T(38.0): precision: 0.026399755917928522, recall: 0.7697220502460165, coverage: 1, TP: 23622, FP: 871159, nbPos: 30689
T(40.0): precision: 0.02707727543970391, recall: 0.7673759327446317, coverage: 1, TP: 23550, FP: 846183, nbPos: 30689
T(42.0): precision: 0.028012767732197894, recall: 0.7638241715272573, coverage: 1, TP: 23441, FP: 813356, nbPos: 30689
T(44.0): precision: 0.02924237497889115, recall: 0.7561015347518655, coverage: 1, TP: 23204, FP: 770302, nbPos: 30689
