Testing error
T(0.0): precision: 0.008465405043644183, recall: 1.0, coverage: 1, TP: 43993, FP: 5152805, nbPos: 43993
T(2.0): precision: 0.008225801117373536, recall: 0.9554701884390698, coverage: 1, TP: 42034, FP: 5067985, nbPos: 43993
T(4.0): precision: 0.008387459820817055, recall: 0.9144409337849203, coverage: 1, TP: 40229, FP: 4756098, nbPos: 43993
T(6.0): precision: 0.00880240980911858, recall: 0.8904143841065624, coverage: 1, TP: 39172, FP: 4410973, nbPos: 43993
T(8.0): precision: 0.009283274241853863, recall: 0.8738890277998772, coverage: 1, TP: 38445, FP: 4102874, nbPos: 43993
T(10.0): precision: 0.009870094763555562, recall: 0.8598413383947446, coverage: 1, TP: 37827, FP: 3794659, nbPos: 43993
T(12.0): precision: 0.010676188291804126, recall: 0.8443388720932876, coverage: 1, TP: 37145, FP: 3442093, nbPos: 43993
T(14.0): precision: 0.011742780673243764, recall: 0.8308594549132816, coverage: 1, TP: 36552, FP: 3076169, nbPos: 43993
T(16.0): precision: 0.012878146039694368, recall: 0.8174936921783011, coverage: 1, TP: 35964, FP: 2756674, nbPos: 43993
T(18.0): precision: 0.014069414552154404, recall: 0.8073102539040302, coverage: 1, TP: 35516, FP: 2488825, nbPos: 43993
T(20.0): precision: 0.015254279213500456, recall: 0.79901347941718, coverage: 1, TP: 35151, FP: 2269186, nbPos: 43993
T(22.0): precision: 0.01641044965111291, recall: 0.7939217602800446, coverage: 1, TP: 34927, FP: 2093412, nbPos: 43993
T(24.0): precision: 0.0174326632953982, recall: 0.7895574295910713, coverage: 1, TP: 34735, FP: 1957789, nbPos: 43993
T(26.0): precision: 0.018297648383137657, recall: 0.7855340622371741, coverage: 1, TP: 34558, FP: 1854100, nbPos: 43993
T(28.0): precision: 0.019012600802829197, recall: 0.7817380037733276, coverage: 1, TP: 34391, FP: 1774462, nbPos: 43993
T(30.0): precision: 0.019583925302548263, recall: 0.7776919055304253, coverage: 1, TP: 34213, FP: 1712781, nbPos: 43993
