Testing error
T(0.0): precision: 0.008354252823526566, recall: 1.0, coverage: 1, TP: 43180, FP: 5125445, nbPos: 43180
T(2.0): precision: 0.008206410082308659, recall: 0.9558591940713294, coverage: 1, TP: 41274, FP: 4988209, nbPos: 43180
T(4.0): precision: 0.008539413149377761, recall: 0.8999536822603057, coverage: 1, TP: 38860, FP: 4511804, nbPos: 43180
T(6.0): precision: 0.009429933758845986, recall: 0.8683881426586383, coverage: 1, TP: 37497, FP: 3938883, nbPos: 43180
T(8.0): precision: 0.010624450502037029, recall: 0.8468503937007874, coverage: 1, TP: 36567, FP: 3405211, nbPos: 43180
T(10.0): precision: 0.011940522404105628, recall: 0.8295275590551181, coverage: 1, TP: 35819, FP: 2963966, nbPos: 43180
T(12.0): precision: 0.013232522680148068, recall: 0.8176007410838351, coverage: 1, TP: 35304, FP: 2632668, nbPos: 43180
T(14.0): precision: 0.014470292384366675, recall: 0.8078276980083372, coverage: 1, TP: 34882, FP: 2375712, nbPos: 43180
T(16.0): precision: 0.01562901354508467, recall: 0.7989578508568782, coverage: 1, TP: 34499, FP: 2172870, nbPos: 43180
T(18.0): precision: 0.01657679683998912, recall: 0.7932607688744789, coverage: 1, TP: 34253, FP: 2032069, nbPos: 43180
T(20.0): precision: 0.017338465149695233, recall: 0.7886058360352015, coverage: 1, TP: 34052, FP: 1929905, nbPos: 43180
T(22.0): precision: 0.017954032928090613, recall: 0.78471514590088, coverage: 1, TP: 33884, FP: 1853380, nbPos: 43180
T(24.0): precision: 0.01844971123377566, recall: 0.7828855951829551, coverage: 1, TP: 33805, FP: 1798473, nbPos: 43180
T(26.0): precision: 0.018833011248757275, recall: 0.7808939323761, coverage: 1, TP: 33719, FP: 1756701, nbPos: 43180
T(28.0): precision: 0.019191959478323296, recall: 0.7800833719314497, coverage: 1, TP: 33684, FP: 1721426, nbPos: 43180
T(30.0): precision: 0.019510237132094908, recall: 0.7789717461787865, coverage: 1, TP: 33636, FP: 1690382, nbPos: 43180
T(32.0): precision: 0.01977641492490733, recall: 0.7777906438165818, coverage: 1, TP: 33585, FP: 1664650, nbPos: 43180
T(34.0): precision: 0.020003437139726892, recall: 0.7763316350162112, coverage: 1, TP: 33522, FP: 1642290, nbPos: 43180
T(36.0): precision: 0.020227708273779343, recall: 0.7751273737841593, coverage: 1, TP: 33470, FP: 1621191, nbPos: 43180
