Testing error
T(0.0): precision: 0.011478778345563942, recall: 1.0, coverage: 1, TP: 18988, FP: 1635195, nbPos: 18988
T(2.0): precision: 0.01170367952983591, recall: 0.8801348219928375, coverage: 1, TP: 16712, FP: 1411215, nbPos: 18988
T(4.0): precision: 0.011767497805203803, recall: 0.8774489151042764, coverage: 1, TP: 16661, FP: 1399188, nbPos: 18988
T(6.0): precision: 0.01190430970412666, recall: 0.8747630082157152, coverage: 1, TP: 16610, FP: 1378683, nbPos: 18988
T(8.0): precision: 0.012132551161536838, recall: 0.8722350958500106, coverage: 1, TP: 16562, FP: 1348526, nbPos: 18988
T(10.0): precision: 0.012377356453923356, recall: 0.8696018538024015, coverage: 1, TP: 16512, FP: 1317537, nbPos: 18988
T(12.0): precision: 0.012612641599194703, recall: 0.8670739414366969, coverage: 1, TP: 16464, FP: 1288893, nbPos: 18988
T(14.0): precision: 0.012825839099130055, recall: 0.8649673477986096, coverage: 1, TP: 16424, FP: 1264116, nbPos: 18988
T(16.0): precision: 0.012981848857979096, recall: 0.8631240783652834, coverage: 1, TP: 16389, FP: 1246066, nbPos: 18988
T(18.0): precision: 0.013136608038203908, recall: 0.8617021276595744, coverage: 1, TP: 16362, FP: 1229165, nbPos: 18988
T(20.0): precision: 0.013324157567682822, recall: 0.8605961659995787, coverage: 1, TP: 16341, FP: 1210078, nbPos: 18988
T(22.0): precision: 0.013414953095777386, recall: 0.8590162207710133, coverage: 1, TP: 16311, FP: 1199571, nbPos: 18988
T(24.0): precision: 0.013514353922172645, recall: 0.8583315778386349, coverage: 1, TP: 16298, FP: 1189679, nbPos: 18988
T(26.0): precision: 0.013628916743894404, recall: 0.8573836107014957, coverage: 1, TP: 16280, FP: 1178239, nbPos: 18988
T(28.0): precision: 0.01370384725569168, recall: 0.8565409732462608, coverage: 1, TP: 16264, FP: 1170556, nbPos: 18988
T(30.0): precision: 0.013759377350690891, recall: 0.855435011586265, coverage: 1, TP: 16243, FP: 1164261, nbPos: 18988
T(32.0): precision: 0.013822015571486854, recall: 0.8546450389719823, coverage: 1, TP: 16228, FP: 1157841, nbPos: 18988
T(34.0): precision: 0.01386515484111791, recall: 0.8529070992205604, coverage: 1, TP: 16195, FP: 1151841, nbPos: 18988
T(36.0): precision: 0.013918679273517873, recall: 0.8523277859700864, coverage: 1, TP: 16184, FP: 1146570, nbPos: 18988
T(38.0): precision: 0.013982983030612378, recall: 0.8512218243100906, coverage: 1, TP: 16163, FP: 1139742, nbPos: 18988
T(40.0): precision: 0.014093057505160204, recall: 0.8496945439224773, coverage: 1, TP: 16134, FP: 1128685, nbPos: 18988
T(42.0): precision: 0.014266968125193954, recall: 0.8474299557615336, coverage: 1, TP: 16091, FP: 1111759, nbPos: 18988
T(44.0): precision: 0.014575812315393196, recall: 0.8443753949863071, coverage: 1, TP: 16033, FP: 1083940, nbPos: 18988
T(46.0): precision: 0.014985650740331823, recall: 0.8420581419844112, coverage: 1, TP: 15989, FP: 1050965, nbPos: 18988
T(48.0): precision: 0.015500350576503584, recall: 0.8382662734358542, coverage: 1, TP: 15917, FP: 1010963, nbPos: 18988
T(50.0): precision: 0.01628172625333339, recall: 0.8347377290920581, coverage: 1, TP: 15850, FP: 957634, nbPos: 18988
T(52.0): precision: 0.01737053845696506, recall: 0.8308931957025489, coverage: 1, TP: 15777, FP: 892485, nbPos: 18988
T(54.0): precision: 0.01885002435061021, recall: 0.8235201179692437, coverage: 1, TP: 15637, FP: 813911, nbPos: 18988
T(56.0): precision: 0.020835983791377598, recall: 0.8107752264588161, coverage: 1, TP: 15395, FP: 723471, nbPos: 18988
T(58.0): precision: 0.023398146476778504, recall: 0.7987149778807668, coverage: 1, TP: 15166, FP: 633005, nbPos: 18988
T(60.0): precision: 0.026291832116852588, recall: 0.7863387402570045, coverage: 1, TP: 14931, FP: 552964, nbPos: 18988
T(62.0): precision: 0.029644236732344585, recall: 0.7703286286075416, coverage: 1, TP: 14627, FP: 478791, nbPos: 18988
T(64.0): precision: 0.03318760259389881, recall: 0.7527912365704655, coverage: 1, TP: 14294, FP: 416409, nbPos: 18988
T(66.0): precision: 0.03669734473030889, recall: 0.7309879924162629, coverage: 1, TP: 13880, FP: 364349, nbPos: 18988
T(68.0): precision: 0.03955636738653545, recall: 0.7150832104487045, coverage: 1, TP: 13578, FP: 329679, nbPos: 18988
T(70.0): precision: 0.04219132714665195, recall: 0.7085001053296819, coverage: 1, TP: 13453, FP: 305404, nbPos: 18988
T(72.0): precision: 0.04493839499461442, recall: 0.700916368232568, coverage: 1, TP: 13309, FP: 282852, nbPos: 18988
T(74.0): precision: 0.048477655376158384, recall: 0.694807246682115, coverage: 1, TP: 13193, FP: 258953, nbPos: 18988
