Testing error
T(0.0): precision: 0.008503973645517318, recall: 1.0, coverage: 1, TP: 45691, FP: 5327209, nbPos: 45691
T(2.0): precision: 0.008542676619973365, recall: 0.9052548641964501, coverage: 1, TP: 41362, FP: 4800446, nbPos: 45691
T(4.0): precision: 0.010648830044574278, recall: 0.8543039110546935, coverage: 1, TP: 39034, FP: 3626533, nbPos: 45691
T(6.0): precision: 0.01369195711347988, recall: 0.8193955045851481, coverage: 1, TP: 37439, FP: 2696940, nbPos: 45691
T(8.0): precision: 0.016504705166561367, recall: 0.8038782254710993, coverage: 1, TP: 36730, FP: 2188696, nbPos: 45691
T(10.0): precision: 0.01837310279666085, recall: 0.7954301722439868, coverage: 1, TP: 36344, FP: 1941765, nbPos: 45691
T(12.0): precision: 0.019548803700388657, recall: 0.7891926199908078, coverage: 1, TP: 36059, FP: 1808504, nbPos: 45691
T(14.0): precision: 0.02015967479821193, recall: 0.7840931474469808, coverage: 1, TP: 35826, FP: 1741286, nbPos: 45691
T(16.0): precision: 0.020499517519966523, recall: 0.7815762403974524, coverage: 1, TP: 35711, FP: 1706330, nbPos: 45691
T(18.0): precision: 0.020621826493056702, recall: 0.7798034623886542, coverage: 1, TP: 35630, FP: 1692151, nbPos: 45691
T(20.0): precision: 0.0206850256934079, recall: 0.7782714320106804, coverage: 1, TP: 35560, FP: 1683558, nbPos: 45691
T(22.0): precision: 0.020715224810249334, recall: 0.7779650259350857, coverage: 1, TP: 35546, FP: 1680390, nbPos: 45691
T(24.0): precision: 0.020730009431480616, recall: 0.7778555951938019, coverage: 1, TP: 35541, FP: 1678930, nbPos: 45691
T(26.0): precision: 0.020770810990879896, recall: 0.777833709045545, coverage: 1, TP: 35540, FP: 1675515, nbPos: 45691
T(28.0): precision: 0.020801176296363934, recall: 0.7777680506007748, coverage: 1, TP: 35537, FP: 1672876, nbPos: 45691
T(30.0): precision: 0.02082595614255195, recall: 0.77746164452518, coverage: 1, TP: 35523, FP: 1670185, nbPos: 45691
T(32.0): precision: 0.0208517400715155, recall: 0.7773740999321529, coverage: 1, TP: 35519, FP: 1667888, nbPos: 45691
T(34.0): precision: 0.02090486722799071, recall: 0.7773740999321529, coverage: 1, TP: 35519, FP: 1663559, nbPos: 45691
T(36.0): precision: 0.020940213523551326, recall: 0.7772865553391258, coverage: 1, TP: 35515, FP: 1660504, nbPos: 45691
T(38.0): precision: 0.021000974272002308, recall: 0.7770020354117879, coverage: 1, TP: 35502, FP: 1654991, nbPos: 45691
T(40.0): precision: 0.021036575790634518, recall: 0.7769582631152744, coverage: 1, TP: 35500, FP: 1652037, nbPos: 45691
T(42.0): precision: 0.02111240553144549, recall: 0.776608084743166, coverage: 1, TP: 35484, FP: 1645234, nbPos: 45691
T(44.0): precision: 0.021199034515993444, recall: 0.7759952725919765, coverage: 1, TP: 35456, FP: 1637073, nbPos: 45691
