Testing error
T(0.0): precision: 0.008354339882016502, recall: 1.0, coverage: 1, TP: 42395, FP: 5032213, nbPos: 42395
T(2.0): precision: 0.008368025967336185, recall: 0.9587215473522821, coverage: 1, TP: 40645, FP: 4816534, nbPos: 42395
T(4.0): precision: 0.008943394118276916, recall: 0.9062625309588395, coverage: 1, TP: 38421, FP: 4257599, nbPos: 42395
T(6.0): precision: 0.00987337138789573, recall: 0.8742068640169831, coverage: 1, TP: 37062, FP: 3716671, nbPos: 42395
T(8.0): precision: 0.010989786872209452, recall: 0.8517749734638519, coverage: 1, TP: 36111, FP: 3249758, nbPos: 42395
T(10.0): precision: 0.012178163047083254, recall: 0.8349333647835829, coverage: 1, TP: 35397, FP: 2871199, nbPos: 42395
T(12.0): precision: 0.01322284434151129, recall: 0.8233753980422219, coverage: 1, TP: 34907, FP: 2604994, nbPos: 42395
T(14.0): precision: 0.014036980948763635, recall: 0.8124542988559972, coverage: 1, TP: 34444, FP: 2419360, nbPos: 42395
T(16.0): precision: 0.014649601418244325, recall: 0.8077367614105437, coverage: 1, TP: 34244, FP: 2303294, nbPos: 42395
T(18.0): precision: 0.015064336443023667, recall: 0.8054251680622715, coverage: 1, TP: 34146, FP: 2232532, nbPos: 42395
T(20.0): precision: 0.01536774213931572, recall: 0.8031371624012266, coverage: 1, TP: 34049, FP: 2181566, nbPos: 42395
T(22.0): precision: 0.015632943510412223, recall: 0.8014860242953178, coverage: 1, TP: 33979, FP: 2139572, nbPos: 42395
T(24.0): precision: 0.01586793984208735, recall: 0.8005661044934544, coverage: 1, TP: 33940, FP: 2104964, nbPos: 42395
T(26.0): precision: 0.016082368595194216, recall: 0.7996933600660455, coverage: 1, TP: 33903, FP: 2074182, nbPos: 42395
T(28.0): precision: 0.01628737557519398, recall: 0.7981601603962731, coverage: 1, TP: 33838, FP: 2043722, nbPos: 42395
T(30.0): precision: 0.01648522171093403, recall: 0.7968628375987734, coverage: 1, TP: 33783, FP: 2015507, nbPos: 42395
T(32.0): precision: 0.01666554686944218, recall: 0.7957070409246373, coverage: 1, TP: 33734, FP: 1990442, nbPos: 42395
T(34.0): precision: 0.01681180001807613, recall: 0.7941502535676377, coverage: 1, TP: 33668, FP: 1968973, nbPos: 42395
T(36.0): precision: 0.016981682894775387, recall: 0.7930652199551834, coverage: 1, TP: 33622, FP: 1946276, nbPos: 42395
T(38.0): precision: 0.017160960833821647, recall: 0.7916499587215473, coverage: 1, TP: 33562, FP: 1922156, nbPos: 42395
